key,english_source,current_tamil_translation,status,reviewer_notes
common.ok,OK,சரி,translated,
common.cancel,Cancel,ரத்து,translated,
common.save,Save,சேமி,translated,
common.delete,Delete,நீக்கு,translated,
common.edit,Edit,திருத்து,translated,
common.back,Back,பின்,translated,
common.retry,Retry,மீண்டும் முயற்சி,translated,
common.loading,Loading…,ஏற்றுகிறது…,translated,
common.stop,Stop,நிறுத்து,translated,
common.units.meters_short,{{n}} m,{{n}} மீ,translated,
common.units.kilometers_short,{{n}} km,{{n}} கி.மீ,translated,
common.units.hours_per_day,{{n}} hrs / day,{{n}} மணி / நாள்,translated,
common.job_type.full_time,Full Time,முழு நேரம்,translated,
common.job_type.part_time,Part Time,பகுதி நேரம்,translated,
common.job_type.gig,Gig,கிக்,translated,
common.job_type.shift,Shift,ஷிப்ட்,translated,
common.job_type.contract,Contract,ஒப்பந்தம்,translated,
common.pay_period.per_hour,Per hour,மணிக்கு,translated,
common.pay_period.per_day,Per day,ஒரு நாளுக்கு,translated,
common.pay_period.per_week,Per week,ஒரு வாரத்திற்கு,translated,
common.pay_period.per_month,Per month,ஒரு மாதத்திற்கு,translated,
common.pay_period.one_time,One-time,ஒரு முறை,translated,
common.pay_period.suffix_hour,/hr,/மணி,translated,
common.pay_period.suffix_day,/day,/நாள்,translated,
common.pay_period.suffix_week,/wk,/வாரம்,translated,
common.pay_period.suffix_month,/mo,/மாதம்,translated,
common.pay_period.suffix_fixed, fixed, நிலையான,translated,
tabs.home,Home,முகப்பு,translated,
tabs.jobs,Jobs,வேலைகள்,translated,
tabs.community,Community,சமூகம்,translated,
tabs.voice,Voice,குரல்,translated,
tabs.chat,Chat,உரையாடல்,translated,
tabs.earnings,Earnings,வருமானம்,translated,
tabs.profile,Profile,சுயவிவரம்,translated,
tabs.my_job,My Job,என் வேலை,translated,
community_hub.title,Community,சமூகம்,translated,
community_hub.subtitle,"Connect, learn and grow with other workers","மற்ற தொழிலாளர்களுடன் இணைந்து, கற்று, வளருங்கள்",translated,
community_hub.buddies,Find work buddies,வேலை தோழர்களைக் கண்டறியுங்கள்,translated,
community_hub.buddies_hint,Connect with workers near you,உங்கள் அருகிலுள்ள தொழிலாளர்களுடன் இணையுங்கள்,translated,
community_hub.refer,Refer a friend,நண்பரைப் பரிந்துரையுங்கள்,translated,
community_hub.refer_hint,Earn ₹100 when they get hired,அவர்கள் வேலை பெற்றதும் ₹100 சம்பாதியுங்கள்,translated,
community_hub.mentors,Mentors,வழிகாட்டிகள்,translated,
community_hub.mentors_hint,Get guidance from experienced workers,அனுபவமிக்க தொழிலாளர்களிடம் வழிகாட்டுதல் பெறுங்கள்,translated,
community_hub.ratings,Ratings & reviews,மதிப்பீடுகள் & விமர்சனங்கள்,translated,
community_hub.ratings_hint,See what employers say about you,முதலாளிகள் உங்களைப் பற்றி என்ன சொல்கிறார்கள் என்று பாருங்கள்,translated,
earnings_hub.title,Earnings,வருமானம்,translated,
earnings_hub.subtitle,"Your money, activities and protection","உங்கள் பணம், செயல்பாடுகள் மற்றும் பாதுகாப்பு",translated,
earnings_hub.ledger,My earnings,என் வருமானம்,translated,
earnings_hub.ledger_hint,Track your payout and history,உங்கள் பணம் மற்றும் வரலாற்றைக் கண்காணியுங்கள்,translated,
earnings_hub.ledger_caption,This month,இந்த மாதம்,translated,
earnings_hub.advance,Cash advance,பண முன்பணம்,translated,
earnings_hub.advance_hint,Get a small advance before payday,சம்பளத்திற்கு முன் சிறிய முன்பணம் பெறுங்கள்,translated,
earnings_hub.advance_cta,Get now,இப்போது பெறுங்கள்,translated,
earnings_hub.insurance,Worker insurance,தொழிலாளர் காப்பீடு,translated,
earnings_hub.insurance_hint,Accident cover while you work,வேலை செய்யும்போது விபத்து பாதுகாப்பு,translated,
earnings_hub.insurance_active,Active,செயலில்,translated,
earnings_hub.insurance_inactive,Not active,செயலில் இல்லை,translated,
earnings_hub.insurance_since,Since {{date}},{{date}} முதல்,translated,
earnings_hub.insurance_cta,Get covered,பாதுகாப்பு பெறுங்கள்,translated,
earnings_hub.promo_title,"More security.
More benefits.","மேலும் பாதுகாப்பு.
மேலும் நன்மைகள்.",translated,
earnings_hub.promo_body,Explore insurances and financial tools made for you.,உங்களுக்காக உருவாக்கப்பட்ட காப்பீடு மற்றும் நிதிக் கருவிகளை ஆராயுங்கள்.,translated,
earnings_hub.promo_cta,Explore now,இப்போது ஆராயுங்கள்,translated,
earnings_hub.collect,Collect (QR),,MISSING — needs translation,
earnings_hub.collect_hint,Get paid by QR → wallet,,MISSING — needs translation,
earnings_hub.collect_top,Bank + QR,,MISSING — needs translation,
earnings_hub.collect_caption,Withdraw anytime,,MISSING — needs translation,
profile_groups.grow,Grow your career,உங்கள் தொழில் வளர்ச்சி,translated,
profile_groups.rights,Your rights & safety,உங்கள் உரிமைகள் & பாதுகாப்பு,translated,
profile_groups.account,Resume & account,ரெஸ்யூமே & கணக்கு,translated,
profile_groups.connect,Find work buddies,வேலைத் தோழர்களைத் தேடுங்கள்,translated,
home.title,Doondo,Doondo,translated,
home.modes.today,Today,இன்று,translated,
home.modes.this_week,This week,இந்த வாரம்,translated,
home.modes.career,Career,தொழில்,translated,
home.voice_card.title,Find jobs through voice,குரல் மூலம் வேலை தேடுங்கள்,translated,
home.voice_card.hint,Tell us what work you want,உங்களுக்கு என்ன வேலை வேண்டும் என்று சொல்லுங்கள்,translated,
home.categories_section_label,Job categories,வேலை வகைகள்,translated,
home.nearby_jobs,Nearby jobs,அருகிலுள்ள வேலைகள்,translated,
home.view_all,View all,அனைத்தையும் பார்,translated,
home.see_more,See more,மேலும்,translated,
home.categories.delivery,Delivery,டெலிவரி,translated,
home.categories.driver,Driver,ஓட்டுநர்,translated,
home.categories.electrician,Electrician,மின்சாரி,translated,
home.categories.helper,Helper,உதவியாளர்,translated,
home.categories.mason,Mason,கொத்தனார்,translated,
home.location.your_area,Your area,உங்கள் பகுதி,translated,
home.location.locating,Locating…,இடம் கண்டறியப்படுகிறது…,translated,
home.location.finding_jobs,Finding nearby jobs…,அருகிலுள்ள வேலைகளைத் தேடுகிறேன்…,translated,
home.location.nearby_count_one,{{count}} nearby job,{{count}} அருகிலுள்ள வேலை,translated,
home.location.nearby_count_other,{{count}} nearby jobs,{{count}} அருகிலுள்ள வேலைகள்,translated,
home.jobs.empty_no_jobs_nearby,No jobs near you right now. Pull to refresh.,இப்போது உங்கள் அருகில் வேலைகள் இல்லை. புதுப்பிக்க கீழே இழுக்கவும்.,translated,
home.jobs.default_employer,Doondo Employer,Doondo முதலாளி,translated,
home.jobs.apply_now,Apply Now,இப்போது விண்ணப்பி,translated,
home.hero.eyebrow,OPPORTUNITIES DAILY,தினமும் வாய்ப்புகள்,translated,
home.hero.headline,Find the right jobs near you,உங்களுக்கான சரியான வேலையைக் கண்டுபிடியுங்கள்,translated,
home.hero.cta,Explore Jobs,வேலைகளைப் பார்,translated,
home.hero.cta_a11y,Explore jobs,வேலைகளைப் பார்,translated,
home.feed.empty_today_title,No same-day jobs nearby,இன்று அருகில் வேலைகள் இல்லை,translated,
home.feed.empty_today_hint,"Pull to refresh, or switch to Career for longer-term roles.","புதுப்பிக்க இழுக்கவும், அல்லது நீண்ட காலப் பணிகளுக்கு தொழில் பகுதிக்குச் செல்லுங்கள்.",translated,
home.feed.empty_this_week_title,No short contracts posted this week,இந்த வாரம் குறுகியக் கால ஒப்பந்தங்கள் இல்லை,translated,
home.feed.empty_this_week_hint,Try a wider trade filter or check back tomorrow.,பரந்த தொழில் வடிகட்டியை முயற்சிக்கவும் அல்லது நாளை மீண்டும் பாருங்கள்.,translated,
home.feed.browse_by_trade,Browse by trade,தொழில் வாரியாக உலாவு,translated,
home.feed.view_all_arrow,View all →,அனைத்தையும் பார் →,translated,
home.feed.clear_filters_one,Clear {{count}} filter,{{count}} வடிகட்டியை அழி,translated,
home.feed.clear_filters_other,Clear {{count}} filters,{{count}} வடிகட்டிகளை அழி,translated,
home.feed.locating,Locating…,இடம் கண்டறியப்படுகிறது…,translated,
home.job_card.urgent,URGENT,அவசரம்,translated,
home.job_card.distance_away,{{distance}} away,{{distance}} தூரம்,translated,
home.job_card.start_today,Start Today,இன்றே தொடங்கு,translated,
home.job_card.immediate,Immediate,உடனடி,translated,
home.job_card.flexible,Flexible,நெகிழ்வான,translated,
home.job_card.schedule,Schedule,அட்டவணை,translated,
home.job_card.tap_to_call_apply,Tap to call / apply,அழைக்க / விண்ணப்பிக்க தட்டவும்,translated,
home.job_card.view_details,View details,விவரங்களைப் பார்,translated,
home.job_card.tap_to_call_apply_a11y,Tap to call or apply,அழைக்க அல்லது விண்ணப்பிக்க தட்டவும்,translated,
home.job_card.view_job_a11y,View job,வேலையைப் பார்,translated,
home.job_card.job_a11y_label,"{{title}}, {{pay}}","{{title}}, {{pay}}",translated,
home.job_card.driving_license_required,Driving License: Required,ஓட்டுநர் உரிமம்: தேவை,translated,
home.job_card.skill_required_suffix,{{skill}}: Required,{{skill}}: தேவை,translated,
home.beacon.chip_inactive_title,Tell employers I'm available now,நான் இப்போது கிடைக்கிறேன் என்று முதலாளிகளிடம் சொல்லுங்கள்,translated,
home.beacon.chip_inactive_hint,Nearby employers will see you in their list,அருகிலுள்ள முதலாளிகள் தங்கள் பட்டியலில் உங்களைப் பார்ப்பார்கள்,translated,
home.beacon.chip_active_title,Available — {{left}} left,கிடைக்கிறது — {{left}} மீதம்,translated,
home.beacon.chip_active_hint,Until {{time}} · tap to edit,{{time}} வரை · திருத்த தட்டவும்,translated,
home.beacon.chip_a11y_active,Edit availability beacon,கிடைப்புத்திறன் பீக்கனைத் திருத்து,translated,
home.beacon.chip_a11y_inactive,Tell employers you are available,நீங்கள் கிடைப்பீர்கள் என்று முதலாளிகளிடம் சொல்லுங்கள்,translated,
home.beacon.stop,Stop,நிறுத்து,translated,
home.beacon.stop_confirm_title,Stop broadcasting?,ஒளிபரப்பை நிறுத்தவா?,translated,
