key,english_source,current_telugu_translation,status,reviewer_notes
common.ok,OK,సరే,translated,
common.cancel,Cancel,రద్దు,translated,
common.save,Save,సేవ్,translated,
common.delete,Delete,తొలగించు,translated,
common.edit,Edit,మార్చు,translated,
common.back,Back,వెనుకకు,translated,
common.retry,Retry,మళ్లీ ప్రయత్నించు,translated,
common.loading,Loading…,లోడ్ అవుతోంది…,translated,
common.stop,Stop,ఆపండి,translated,
common.units.meters_short,{{n}} m,{{n}} మీ,translated,
common.units.kilometers_short,{{n}} km,{{n}} కి.మీ,translated,
common.units.hours_per_day,{{n}} hrs / day,{{n}} గంటలు / రోజు,translated,
common.job_type.full_time,Full Time,పూర్తి సమయం,translated,
common.job_type.part_time,Part Time,పార్ట్ టైమ్,translated,
common.job_type.gig,Gig,గిగ్,translated,
common.job_type.shift,Shift,షిఫ్ట్,translated,
common.job_type.contract,Contract,ఒప్పందం,translated,
common.pay_period.per_hour,Per hour,గంటకు,translated,
common.pay_period.per_day,Per day,రోజుకు,translated,
common.pay_period.per_week,Per week,వారానికి,translated,
common.pay_period.per_month,Per month,నెలకు,translated,
common.pay_period.one_time,One-time,ఒక్కసారి,translated,
common.pay_period.suffix_hour,/hr,/గం,translated,
common.pay_period.suffix_day,/day,/రోజు,translated,
common.pay_period.suffix_week,/wk,/వారం,translated,
common.pay_period.suffix_month,/mo,/నెల,translated,
common.pay_period.suffix_fixed, fixed, నిర్ణీత,translated,
tabs.home,Home,హోమ్,translated,
tabs.jobs,Jobs,ఉద్యోగాలు,translated,
tabs.community,Community,సంఘం,translated,
tabs.voice,Voice,వాయిస్,translated,
tabs.chat,Chat,చాట్,translated,
tabs.earnings,Earnings,సంపాదన,translated,
tabs.profile,Profile,ప్రొఫైల్,translated,
tabs.my_job,My Job,నా పని,translated,
community_hub.title,Community,సంఘం,translated,
community_hub.subtitle,"Connect, learn and grow with other workers","ఇతర కార్మికులతో కనెక్ట్ అవ్వండి, నేర్చుకోండి, ఎదగండి",translated,
community_hub.buddies,Find work buddies,పని తోడుగాళ్లను కనుగొనండి,translated,
community_hub.buddies_hint,Connect with workers near you,మీ సమీపంలోని కార్మికులతో కనెక్ట్ అవ్వండి,translated,
community_hub.refer,Refer a friend,స్నేహితుడిని రెఫర్ చేయండి,translated,
community_hub.refer_hint,Earn ₹100 when they get hired,వారు ఉద్యోగం పొందినప్పుడు ₹100 సంపాదించండి,translated,
community_hub.mentors,Mentors,మెంటర్లు,translated,
community_hub.mentors_hint,Get guidance from experienced workers,అనుభవజ్ఞులైన కార్మికుల నుండి మార్గదర్శనం పొందండి,translated,
community_hub.ratings,Ratings & reviews,రేటింగ్‌లు & సమీక్షలు,translated,
community_hub.ratings_hint,See what employers say about you,యజమానులు మీ గురించి ఏమి చెబుతారో చూడండి,translated,
earnings_hub.title,Earnings,సంపాదన,translated,
earnings_hub.subtitle,"Your money, activities and protection","మీ డబ్బు, కార్యకలాపాలు మరియు రక్షణ",translated,
earnings_hub.ledger,My earnings,నా సంపాదన,translated,
earnings_hub.ledger_hint,Track your payout and history,మీ చెల్లింపులు మరియు చరిత్రను ట్రాక్ చేయండి,translated,
earnings_hub.ledger_caption,This month,ఈ నెల,translated,
earnings_hub.advance,Cash advance,నగదు అడ్వాన్స్,translated,
earnings_hub.advance_hint,Get a small advance before payday,జీతానికి ముందు చిన్న అడ్వాన్స్ పొందండి,translated,
earnings_hub.advance_cta,Get now,ఇప్పుడే పొందండి,translated,
