key,english_source,current_kannada_translation,status,reviewer_notes
common.ok,OK,ಸರಿ,translated,
common.cancel,Cancel,ರದ್ದು,translated,
common.save,Save,ಉಳಿಸಿ,translated,
common.delete,Delete,ಅಳಿಸಿ,translated,
common.edit,Edit,ಬದಲಾಯಿಸಿ,translated,
common.back,Back,ಹಿಂದೆ,translated,
common.retry,Retry,ಮತ್ತೊಮ್ಮೆ,translated,
common.loading,Loading…,ಲೋಡ್ ಆಗುತ್ತಿದೆ…,translated,
common.stop,Stop,ನಿಲ್ಲಿಸಿ,translated,
common.units.meters_short,{{n}} m,{{n}} ಮೀ,translated,
common.units.kilometers_short,{{n}} km,{{n}} ಕಿಮೀ,translated,
common.units.hours_per_day,{{n}} hrs / day,{{n}} ಗಂಟೆ / ದಿನ,translated,
common.job_type.full_time,Full Time,ಪೂರ್ಣ ಸಮಯ,translated,
common.job_type.part_time,Part Time,ಅರೆ ಸಮಯ,translated,
common.job_type.gig,Gig,ಗಿಗ್,translated,
common.job_type.shift,Shift,ಶಿಫ್ಟ್,translated,
common.job_type.contract,Contract,ಒಪ್ಪಂದ,translated,
common.pay_period.per_hour,Per hour,ಪ್ರತಿ ಗಂಟೆಗೆ,translated,
common.pay_period.per_day,Per day,ಪ್ರತಿ ದಿನಕ್ಕೆ,translated,
common.pay_period.per_week,Per week,ಪ್ರತಿ ವಾರಕ್ಕೆ,translated,
common.pay_period.per_month,Per month,ಪ್ರತಿ ತಿಂಗಳಿಗೆ,translated,
common.pay_period.one_time,One-time,ಒಂದು ಬಾರಿ,translated,
common.pay_period.suffix_hour,/hr,/ಗಂಟೆ,translated,
common.pay_period.suffix_day,/day,/ದಿನ,translated,
common.pay_period.suffix_week,/wk,/ವಾರ,translated,
common.pay_period.suffix_month,/mo,/ತಿಂಗಳು,translated,
common.pay_period.suffix_fixed, fixed, ಸ್ಥಿರ,translated,
tabs.home,Home,ಮುಖಪುಟ,translated,
tabs.jobs,Jobs,ಕೆಲಸಗಳು,translated,
tabs.community,Community,ಸಮುದಾಯ,translated,
tabs.voice,Voice,ವಾಯ್ಸ್,translated,
tabs.chat,Chat,ಚಾಟ್,translated,
tabs.earnings,Earnings,ಗಳಿಕೆ,translated,
tabs.profile,Profile,ಪ್ರೊಫೈಲ್,translated,
tabs.my_job,My Job,ನನ್ನ ಕೆಲಸ,translated,
community_hub.title,Community,ಸಮುದಾಯ,translated,
community_hub.subtitle,"Connect, learn and grow with other workers","ಇತರ ಕಾರ್ಮಿಕರೊಂದಿಗೆ ಸಂಪರ್ಕ ಸಾಧಿಸಿ, ಕಲಿಯಿರಿ ಮತ್ತು ಬೆಳೆಯಿರಿ",translated,
community_hub.buddies,Find work buddies,ಕೆಲಸದ ಸಂಗಾತಿಗಳನ್ನು ಹುಡುಕಿ,translated,
community_hub.buddies_hint,Connect with workers near you,ನಿಮ್ಮ ಹತ್ತಿರದ ಕಾರ್ಮಿಕರೊಂದಿಗೆ ಸಂಪರ್ಕ ಸಾಧಿಸಿ,translated,
community_hub.refer,Refer a friend,ಸ್ನೇಹಿತರನ್ನು ರೆಫರ್ ಮಾಡಿ,translated,
community_hub.refer_hint,Earn ₹100 when they get hired,ಅವರು ಕೆಲಸ ಪಡೆದಾಗ ₹100 ಗಳಿಸಿ,translated,
community_hub.mentors,Mentors,ಮಾರ್ಗದರ್ಶಕರು,translated,
community_hub.mentors_hint,Get guidance from experienced workers,ಅನುಭವಿ ಕಾರ್ಮಿಕರಿಂದ ಮಾರ್ಗದರ್ಶನ ಪಡೆಯಿರಿ,translated,
community_hub.ratings,Ratings & reviews,ರೇಟಿಂಗ್ ಮತ್ತು ವಿಮರ್ಶೆಗಳು,translated,
community_hub.ratings_hint,See what employers say about you,ಉದ್ಯೋಗದಾತರು ನಿಮ್ಮ ಬಗ್ಗೆ ಏನು ಹೇಳುತ್ತಾರೆ ಎಂದು ನೋಡಿ,translated,
earnings_hub.title,Earnings,ಗಳಿಕೆ,translated,
earnings_hub.subtitle,"Your money, activities and protection","ನಿಮ್ಮ ಹಣ, ಚಟುವಟಿಕೆಗಳು ಮತ್ತು ರಕ್ಷಣೆ",translated,
earnings_hub.ledger,My earnings,ನನ್ನ ಗಳಿಕೆ,translated,
earnings_hub.ledger_hint,Track your payout and history,ನಿಮ್ಮ ಪಾವತಿಗಳು ಮತ್ತು ಇತಿಹಾಸವನ್ನು ಟ್ರ್ಯಾಕ್ ಮಾಡಿ,translated,
earnings_hub.ledger_caption,This month,ಈ ತಿಂಗಳು,translated,
earnings_hub.advance,Cash advance,ನಗದು ಮುಂಗಡ,translated,
earnings_hub.advance_hint,Get a small advance before payday,ಸಂಬಳಕ್ಕೆ ಮೊದಲು ಸಣ್ಣ ಮುಂಗಡ ಪಡೆಯಿರಿ,translated,
earnings_hub.advance_cta,Get now,ಈಗ ಪಡೆಯಿರಿ,translated,
earnings_hub.insurance,Worker insurance,ಕಾರ್ಮಿಕ ವಿಮೆ,translated,
earnings_hub.insurance_hint,Accident cover while you work,ಕೆಲಸ ಮಾಡುವಾಗ ಅಪಘಾತ ರಕ್ಷಣೆ,translated,
earnings_hub.insurance_active,Active,ಸಕ್ರಿಯ,translated,
earnings_hub.insurance_inactive,Not active,ನಿಷ್ಕ್ರಿಯ,translated,
earnings_hub.insurance_since,Since {{date}},{{date}} ರಿಂದ,translated,
earnings_hub.insurance_cta,Get covered,ರಕ್ಷಣೆ ಪಡೆಯಿರಿ,translated,
earnings_hub.promo_title,"More security.
More benefits.","ಹೆಚ್ಚಿನ ಸುರಕ್ಷತೆ.
ಹೆಚ್ಚಿನ ಪ್ರಯೋಜನಗಳು.",translated,
